Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
PRYOR,8948.00,494,33.10%,1189,"27,065"
CAMERON,8925.00,495,17.00%,578,"52,439"
BEARD,8921.00,496,18.90%,660,"47,128"
WOODSON,8921.00,496,54.10%,2014,"16,496"
ALFORD,8901.00,498,29.60%,1064,"30,050"
MYLES,8893.00,499,72.00%,2689,"12,348"
BENTON,8884.00,500,24.00%,851,"37,032"
PRATT,8833.00,501,14.80%,500,"59,801"
PRUITT,8832.00,502,20.80%,736,"42,463"
PICKETT,8826.00,503,28.90%,1046,"30,552"
BLOUNT,8803.00,504,46.60%,1738,"18,882"
DURHAM,8787.00,505,20.70%,740,"42,365"
CALLOWAY,8747.00,506,55.40%,2109,"15,784"
HARDEN,8713.00,507,34.50%,1284,"25,241"
TATUM,8696.00,508,37.30%,1395,"23,300"
BOND,8692.00,509,17.00%,603,"50,980"
NORWOOD,8691.00,510,40.10%,1520,"21,678"
AVERY,8634.00,511,23.10%,840,"37,440"
WALLER,8624.00,512,24.60%,904,"35,001"
NEWSOME,8590.00,513,37.70%,1438,"22,803"
ERVIN,8586.00,514,35.00%,1321,"24,511"
SHIELDS,8553.00,515,17.30%,623,"49,556"
HOGAN,8545.00,516,13.90%,488,"61,651"
SHEPHERD,8540.00,517,14.70%,515,"57,935"
BOWEN,8525.00,518,11.10%,370,"77,078"
BERNARD,8523.00,519,23.30%,864,"36,546"
WOOTEN,8512.00,520,28.20%,1060,"30,185"
